step,type,energy
benzoic_acid,scf,-4.206826921042201E+02
n_isocyano_triphenylphosphorane,scf,-1.183509149568639E+03
triphenylphosphine_oxide,scf,-1.111277725357656E+03
benzoic_acid,gcorr,0.090112
n_isocyano_triphenylphosphorane,gcorr,0.250565
triphenylphosphine_oxide,gcorr,0.243497
acyclic_1_intr_2,gcorr,0.479173
acyclic_1,gcorr,0.205216
acyclic_1_to_2,gcorr,0.481383
acyclic_2_intr_3,gcorr,0.589340
acyclic_2,gcorr,0.482824
acyclic_2_to_3,gcorr,0.590487
acyclic_3,gcorr,0.592043
acyclic_3_to_4,gcorr,0.594340
acyclic_5,gcorr,0.597783
acyclic_5_to_6,gcorr,0.595575
acyclic_6,gcorr,0.330337
acyclic_1_intr_2,scf,-2.327941368532931E+03
acyclic_1,scf,-1.144387887423721E+03
acyclic_1_to_2,scf,-2.327917492739328E+03
acyclic_2_intr_3,scf,-2.748644898203690E+03
acyclic_2,scf,-2.327920522138426E+03
acyclic_2_to_3,scf,-2.748636488723001E+03
acyclic_3,scf,-2.748682186489630E+03
acyclic_3_to_4,scf,-2.748674511428654E+03
acyclic_5,scf,-2.748668271318247E+03
acyclic_5_to_6,scf,-2.748661869466842E+03
acyclic_6,scf,-1.637420654011537E+03
acyclic_4,gcorr,0.593276
acyclic_4,scf,-2.748680877785140E+03
